model_id,family,task,command,expected_load_mode,returncode,output_file_exists,json_parseable,draw_file_exists,n_raw_predictions,n_normalized_predictions,n_invalid_predictions,first_output_schema,status,expected_blocker_code,actual_error_code,package_bug_suspected,exact_error,notebook_section,registry_status,command_synth,smoke_command,eligible_for_ultralytics_comparison,verdict,notes
convnextv2-base,convnextv2,classify,visionservex classify convnextv2-base <image> --top-k 5,core_load,,False,False,False,,,,,PASS,,,False,,classification,FOUND,OK,visionservex classify convnextv2-base <image> --top-k 5,False,PASS,license=Apache-2.0
convnextv2-large,convnextv2,classify,visionservex classify convnextv2-large <image> --top-k 5,core_load,,False,False,False,,,,,PASS,,,False,,classification,FOUND,OK,visionservex classify convnextv2-large <image> --top-k 5,False,PASS,license=Apache-2.0
convnextv2-tiny,convnextv2,classify,visionservex classify convnextv2-tiny <image> --top-k 5,core_load,,False,False,False,,,,,PASS,,,False,,classification,FOUND,OK,visionservex classify convnextv2-tiny <image> --top-k 5,False,PASS,license=Apache-2.0
internimage-b,internimage,classify,visionservex classify internimage-b <image> --top-k 5,sidecar_validate,,False,False,False,,,,,EXPECTED_BLOCKER,SIDECAR_REQUIRED,SIDECAR_REQUIRED,False,,openmmlab_sidecar,FOUND,OK,visionservex classify internimage-b <image> --top-k 5,False,EXPECTED_BLOCKER,license=MIT
internimage-h,internimage,classify,visionservex classify internimage-h <image> --top-k 5,sidecar_validate,,False,False,False,,,,,EXPECTED_BLOCKER,SIDECAR_REQUIRED,SIDECAR_REQUIRED,False,,openmmlab_sidecar,FOUND,OK,visionservex classify internimage-h <image> --top-k 5,False,EXPECTED_BLOCKER,license=MIT
internimage-l,internimage,classify,visionservex classify internimage-l <image> --top-k 5,sidecar_validate,,False,False,False,,,,,EXPECTED_BLOCKER,SIDECAR_REQUIRED,SIDECAR_REQUIRED,False,,openmmlab_sidecar,FOUND,OK,visionservex classify internimage-l <image> --top-k 5,False,EXPECTED_BLOCKER,license=MIT
internimage-s,internimage,classify,visionservex classify internimage-s <image> --top-k 5,sidecar_validate,,False,False,False,,,,,EXPECTED_BLOCKER,SIDECAR_REQUIRED,SIDECAR_REQUIRED,False,,openmmlab_sidecar,FOUND,OK,visionservex classify internimage-s <image> --top-k 5,False,EXPECTED_BLOCKER,license=MIT
internimage-t,internimage,classify,visionservex classify internimage-t <image> --top-k 5,sidecar_validate,,False,False,False,,,,,EXPECTED_BLOCKER,SIDECAR_REQUIRED,SIDECAR_REQUIRED,False,,openmmlab_sidecar,FOUND,OK,visionservex classify internimage-t <image> --top-k 5,False,EXPECTED_BLOCKER,license=MIT
maxvit-tiny-tf-224,maxvit,classify,visionservex classify maxvit-tiny-tf-224 <image> --top-k 5,core_load,,False,False,False,,,,,PASS,,,False,,classification,FOUND,OK,visionservex classify maxvit-tiny-tf-224 <image> --top-k 5,False,PASS,license=Apache-2.0
mock-classify,mock,classify,visionservex classify mock-classify <image> --top-k 5,core_load,,False,False,False,,,,,PASS,,,False,,package_validation,FOUND,OK,visionservex classify mock-classify <image> --top-k 5,False,PASS,license=Apache-2.0
