model_id,family,task,engine,license_status,default_safe,install_extra,registry_status,execution_status,final_state,blocker_code,blocker_category,evidence_artifact,evidence_source,run_mode,should_be_called_in_notebook,called_in_notebook,notebook_call_count,notebook_paths,notebook_call_types,notebook_execution_status,notebook_evidence_artifacts,output_artifact_exists,current_run_id,stale_from_previous_run,missing_from_notebook_reason,exact_exception_type,attempted_command,sidecar_name,sidecar_python_version,sidecar_torch_version,cuda_required,cuda_observed,manual_fix_command,evidence_source_kind,called_in_current_notebook_run,current_run_call_count,current_run_artifact_exists,historical_artifact_used_as_fallback
agriclip,agriclip,embed,,check,False,,audit_only,not_advertised,not_advertised,AUDIT_ONLY,unclassified,,registry,blocked,True,False,1,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,skipped_with_reason,skipped_deprecated,,False,20260519T171956Z,False,upstream_deprecated,,,,,,,,,current_run,True,1,False,False
anomalib-patchcore,anomalib,anomaly,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,10_anomaly_industrial/Anomaly_Industrial_Status.ipynb,sidecar_status,executed,10_anomaly_industrial/reports/20260519T171956Z_anomalib-patchcore_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
bytetrack,bytetrack,track,,MIT,False,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status,executed,12_libreyolo/reports/20260519T171956Z_bytetrack_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
clip-vit-base-patch32,clip,embed,,MIT,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,smoke,executed,06_embedding_similarity/reports/20260519T171956Z_clip-vit-base-patch32_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
clip-vit-large-patch14,clip,embed,,MIT,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,smoke,executed,06_embedding_similarity/reports/20260519T171956Z_clip-vit-large-patch14_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
co-dino-inst-vit-l-coco,co-dino,segment,,Apache-2.0,False,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_co-dino-inst-vit-l-coco_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
co-dino-inst-vit-l-lvis,codetr,segment,,Apache-2.0,True,,sidecar_required,sidecar_required,sidecar_required,OPENMMLAB_REQUIRED,unclassified,reports/v237_openmmlab_audit.json,resolution_matrix,blocked,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,sidecar_status|skipped_with_reason,executed|skipped_sidecar_unavailable,02_automatic_segmentation/reports/20260519T171956Z_co-dino-inst-vit-l-lvis_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
convnextv2-base,convnextv2,classify,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_convnextv2-base_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
convnextv2-large,convnextv2,classify,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_convnextv2-large_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
convnextv2-tiny,convnextv2,classify,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,05_classification/Classification_Smoke.ipynb,smoke,executed,05_classification/reports/20260519T171956Z_convnextv2-tiny_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
