family,generation,model_id,current_state_before,target_state_after,code_license,weights_license,weights_available,commercial_use_allowed,evidence_artifact,tutorial_notebook,exact_user_command,blocker_if_any
DINO,DINO/DINOv2,dino-vits8,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dino-vits8.ipynb,visionservex legal review dino-vits8  # weights/training-data provenance unresolved,training-data provenance
DINO,DINO/DINOv2,dino-vits16,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dino-vits16.ipynb,visionservex legal review dino-vits16  # weights/training-data provenance unresolved,training-data provenance
DINO,DINO/DINOv2,dino-vitb8,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dino-vitb8.ipynb,visionservex legal review dino-vitb8  # weights/training-data provenance unresolved,training-data provenance
DINO,DINO/DINOv2,dino-vitb16,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dino-vitb16.ipynb,visionservex legal review dino-vitb16  # weights/training-data provenance unresolved,training-data provenance
DINO,DINO/DINOv2,dinov2-small,benchmark_passed,benchmark_passed,Apache-2.0,Apache-2.0,public_download,yes,,notebook/tutorials/dino_family/dinov2-small.ipynb,"visionservex sam run dinov2-small image.jpg --box 10,20,200,220 --out runs/dinov2-small",
DINO,DINO/DINOv2,dinov2-base,benchmark_passed,benchmark_passed,Apache-2.0,Apache-2.0,public_download,yes,,notebook/tutorials/dino_family/dinov2-base.ipynb,"visionservex sam run dinov2-base image.jpg --box 10,20,200,220 --out runs/dinov2-base",
DINO,DINO/DINOv2,dinov2-large,benchmark_passed,benchmark_passed,Apache-2.0,Apache-2.0,public_download,yes,,notebook/tutorials/dino_family/dinov2-large.ipynb,"visionservex sam run dinov2-large image.jpg --box 10,20,200,220 --out runs/dinov2-large",
DINO,DINO/DINOv2,dinov2-giant,benchmark_passed,benchmark_passed,Apache-2.0,Apache-2.0,public_download,yes,,notebook/tutorials/dino_family/dinov2-giant.ipynb,"visionservex sam run dinov2-giant image.jpg --box 10,20,200,220 --out runs/dinov2-giant",
DINO,DINOv3,dinov3-vits16,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-vits16.ipynb,visionservex legal review dinov3-vits16  # weights/training-data provenance unresolved,training-data provenance
DINO,DINOv3,dinov3-vitb16,wired,auth_required,DINOv3 License (Meta custom),"DINOv3 License (Meta custom, gated)",hf_gated,conditional,,notebook/tutorials/dino_family/dinov3-vitb16.ipynb,export HF_TOKEN=... && visionservex sam status dinov3-vitb16  # request HF gated access first,HF gated access
DINO,DINOv3,dinov3-vitl16,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-vitl16.ipynb,visionservex legal review dinov3-vitl16  # weights/training-data provenance unresolved,training-data provenance
DINO,DINOv3,dinov3-vit7b16,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-vit7b16.ipynb,visionservex legal review dinov3-vit7b16  # weights/training-data provenance unresolved,training-data provenance
DINO,DINOv3,dinov3-convnext-tiny,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-convnext-tiny.ipynb,visionservex legal review dinov3-convnext-tiny  # weights/training-data provenance unresolved,training-data provenance
DINO,DINOv3,dinov3-convnext-small,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-convnext-small.ipynb,visionservex legal review dinov3-convnext-small  # weights/training-data provenance unresolved,training-data provenance
DINO,DINOv3,dinov3-convnext-base,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-convnext-base.ipynb,visionservex legal review dinov3-convnext-base  # weights/training-data provenance unresolved,training-data provenance
DINO,DINOv3,dinov3-convnext-large,absent_from_ledger,legal_review_required,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/dinov3-convnext-large.ipynb,visionservex legal review dinov3-convnext-large  # weights/training-data provenance unresolved,training-data provenance
DINO,GroundingDINO,grounding-dino-swin-t,benchmark_passed,benchmark_passed,Apache-2.0,Apache-2.0,public_download,yes,,notebook/tutorials/dino_family/grounding-dino-swin-t.ipynb,"visionservex sam run grounding-dino-swin-t image.jpg --box 10,20,200,220 --out runs/grounding-dino-swin-t",
DINO,GroundingDINO,grounding-dino-swin-b,benchmark_passed,benchmark_passed,Apache-2.0,Apache-2.0,public_download,yes,,notebook/tutorials/dino_family/grounding-dino-swin-b.ipynb,"visionservex sam run grounding-dino-swin-b image.jpg --box 10,20,200,220 --out runs/grounding-dino-swin-b",
DINO,GroundingDINO,grounding-dino-original-swin-t,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/grounding-dino-original-swin-t.ipynb,"visionservex sam run grounding-dino-original-swin-t image.jpg --box 10,20,200,220 --out runs/grounding-dino-original-swin-t",
DINO,GroundingDINO,grounding-dino-original-swin-b,benchmark_passed,benchmark_passed,unknown,unknown,unknown,unknown,,notebook/tutorials/dino_family/grounding-dino-original-swin-b.ipynb,"visionservex sam run grounding-dino-original-swin-b image.jpg --box 10,20,200,220 --out runs/grounding-dino-original-swin-b",
DINO,GroundingDINO,grounding-dino-1.5,auth_required,external_api_only,Apache-2.0 (client),API/gated,api_only,conditional,,notebook/tutorials/dino_family/grounding-dino-1.5.ipynb,export DEEPDATASPACE_API_KEY=... && visionservex dino api grounding-dino-1.5 image.jpg --text '...',API-only
DINO,GroundingDINO,grounding-dino-1.6,auth_required,external_api_only,Apache-2.0 (client),API/gated,api_only,conditional,,notebook/tutorials/dino_family/grounding-dino-1.6.ipynb,export DEEPDATASPACE_API_KEY=... && visionservex dino api grounding-dino-1.6 image.jpg --text '...',API-only
