pipeline_id,detector,detector_state,segmenter,segmenter_state,both_parts_commercial_safe,pipeline_state,is_single_model,exact_user_command,tutorial_notebook
grounding-dino-swin-t+sam-vit-h,grounding-dino-swin-t,benchmark_passed,sam-vit-h,benchmark_passed,True,pipeline_demo_ready,False,visionservex pipeline run grounding-dino-swin-t+sam-vit-h image.jpg --text 'defect' --out runs/grounding-dino-swin-t_sam-vit-h,notebook/tutorials/pipelines/grounding-dino-swin-t_sam-vit-h.ipynb
grounding-dino-swin-b+sam-vit-h,grounding-dino-swin-b,benchmark_passed,sam-vit-h,benchmark_passed,True,pipeline_demo_ready,False,visionservex pipeline run grounding-dino-swin-b+sam-vit-h image.jpg --text 'defect' --out runs/grounding-dino-swin-b_sam-vit-h,notebook/tutorials/pipelines/grounding-dino-swin-b_sam-vit-h.ipynb
grounding-dino-swin-t+sam2.1-hiera-small,grounding-dino-swin-t,benchmark_passed,sam2.1-hiera-small,benchmark_passed,True,pipeline_demo_ready,False,visionservex pipeline run grounding-dino-swin-t+sam2.1-hiera-small image.jpg --text 'defect' --out runs/grounding-dino-swin-t_sam2.1-hiera-small,notebook/tutorials/pipelines/grounding-dino-swin-t_sam2.1-hiera-small.ipynb
grounding-dino-swin-b+sam2.1-hiera-large,grounding-dino-swin-b,benchmark_passed,sam2.1-hiera-large,benchmark_passed,True,pipeline_demo_ready,False,visionservex pipeline run grounding-dino-swin-b+sam2.1-hiera-large image.jpg --text 'defect' --out runs/grounding-dino-swin-b_sam2.1-hiera-large,notebook/tutorials/pipelines/grounding-dino-swin-b_sam2.1-hiera-large.ipynb
grounding-dino-original-swin-t+sam2-hiera-small,grounding-dino-original-swin-t,benchmark_passed,sam2-hiera-small,benchmark_passed,True,pipeline_demo_ready,False,visionservex pipeline run grounding-dino-original-swin-t+sam2-hiera-small image.jpg --text 'defect' --out runs/grounding-dino-original-swin-t_sam2-hiera-small,notebook/tutorials/pipelines/grounding-dino-original-swin-t_sam2-hiera-small.ipynb
grounding-dino-original-swin-b+sam2-hiera-large,grounding-dino-original-swin-b,benchmark_passed,sam2-hiera-large,benchmark_passed,True,pipeline_demo_ready,False,visionservex pipeline run grounding-dino-original-swin-b+sam2-hiera-large image.jpg --text 'defect' --out runs/grounding-dino-original-swin-b_sam2-hiera-large,notebook/tutorials/pipelines/grounding-dino-original-swin-b_sam2-hiera-large.ipynb
grounding-dino-1.5+sam3-base,grounding-dino-1.5,auth_required,sam3-base,auth_required,False,auth_required,False,visionservex pipeline run grounding-dino-1.5+sam3-base image.jpg --text 'defect' --out runs/grounding-dino-1.5_sam3-base,notebook/tutorials/pipelines/grounding-dino-1.5_sam3-base.ipynb
grounding-dino-1.6+sam3-base,grounding-dino-1.6,auth_required,sam3-base,auth_required,False,auth_required,False,visionservex pipeline run grounding-dino-1.6+sam3-base image.jpg --text 'defect' --out runs/grounding-dino-1.6_sam3-base,notebook/tutorials/pipelines/grounding-dino-1.6_sam3-base.ipynb
dino-x-api+sam3-base,dino-x-api,external_api_only,sam3-base,auth_required,False,auth_required,False,visionservex pipeline run dino-x-api+sam3-base image.jpg --text 'defect' --out runs/dino-x-api_sam3-base,notebook/tutorials/pipelines/dino-x-api_sam3-base.ipynb
dinov3-vitb16+sam2.1-hiera-small,dinov3-vitb16,wired,sam2.1-hiera-small,benchmark_passed,False,legal_review_required,False,visionservex pipeline run dinov3-vitb16+sam2.1-hiera-small image.jpg --text 'defect' --out runs/dinov3-vitb16_sam2.1-hiera-small,notebook/tutorials/pipelines/dinov3-vitb16_sam2.1-hiera-small.ipynb
dinov3-vitb16+sam3-base,dinov3-vitb16,wired,sam3-base,auth_required,False,auth_required,False,visionservex pipeline run dinov3-vitb16+sam3-base image.jpg --text 'defect' --out runs/dinov3-vitb16_sam3-base,notebook/tutorials/pipelines/dinov3-vitb16_sam3-base.ipynb
