task,total,pass,fail,blocked,excluded,pass_pct,blocked_pct,excluded_pct
anomaly,1,0,0,1,0,0.0,100.0,0.0
classify,13,8,0,5,0,61.54,38.46,0.0
detect,59,54,0,4,1,91.53,6.78,1.69
embed,13,10,0,0,2,76.92,0.0,15.38
foundation_segment,17,13,0,0,4,76.47,0.0,23.53
obb,8,0,0,8,0,0.0,100.0,0.0
open_vocab,8,5,0,0,2,62.5,0.0,25.0
open_vocab_detect,7,4,0,0,3,57.14,0.0,42.86
pose,6,6,0,0,0,100.0,0.0,0.0
reid,1,0,0,1,0,0.0,100.0,0.0
segment,37,9,0,25,3,24.32,67.57,8.11
track,1,0,0,0,1,0.0,0.0,100.0
vlm,2,2,0,0,0,100.0,0.0,0.0
