tutorial,family,version_pin,has_site_packages_install_cell,executed_fresh_v33_from_site_packages,executed_prior_evidence,package_3_3_0_importable,status
cv2_pro/opencv-connected-components-refine.ipynb,cv2_pro,3.3.0,True,True,False,True,executed_pass_v33
cv2_pro/opencv-contour-snap.ipynb,cv2_pro,3.3.0,True,True,False,True,executed_pass_v33
cv2_pro/opencv-distance-transform-markers.ipynb,cv2_pro,3.3.0,True,True,False,True,executed_pass_v33
cv2_pro/opencv-dnn-onnx-runner.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-grabcut-plus.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-intelligent-scissors.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-kmeans-color-segment.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-mser-proposals.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-selective-search-fast.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-selective-search-quality.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-video-fg-bg-knn.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-video-fg-bg-mog2.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
cv2_pro/opencv-watershed-plus.ipynb,cv2_pro,3.3.0,True,False,False,True,pin_bumped_3.3.0_import_verified
dino_family/dino-x-api.ipynb,dino_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
dino_family/dinov2-base.ipynb,dino_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
dino_family/dinov3-vitb16.ipynb,dino_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
dino_family/grounding-dino-1.5.ipynb,dino_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
dino_family/grounding-dino-1.6.ipynb,dino_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
dino_family/grounding-dino-swin-t.ipynb,dino_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
interactive_seg/clickseg.ipynb,interactive_seg,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
interactive_seg/focalclick.ipynb,interactive_seg,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
interactive_seg/ritm.ipynb,interactive_seg,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
interactive_seg/simpleclick.ipynb,interactive_seg,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
pipelines/dinov3-vitb16_sam3-base.ipynb,pipelines,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
pipelines/grounding-dino-1.6_sam3-base.ipynb,pipelines,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
pipelines/grounding-dino-original-swin-t_sam2-hiera-small.ipynb,pipelines,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
pipelines/grounding-dino-swin-b_sam2.1-hiera-large.ipynb,pipelines,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
pipelines/grounding-dino-swin-t_sam-vit-h.ipynb,pipelines,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
pipelines/grounding-dino-swin-t_sam2.1-hiera-small.ipynb,pipelines,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/edge-sam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/efficientsam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/hq-sam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/light-hq-sam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/medsam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/medsam2.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/mobilesam-onnx.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/mobilesam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/sam-vit-b-onnx.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/sam-vit-h.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/sam2-hiera-large.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/sam2.1-hiera-small.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/sam3-base.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
sam_family/tinysam.ipynb,sam_family,3.3.0,False,False,False,True,pin_bumped_3.3.0_import_verified
v32/01_sam_onnx_export.ipynb,v32,3.3.0,False,True,False,True,executed_pass_v33
v32/02_sam2_video_tracking.ipynb,v32,3.3.0,False,True,False,True,executed_pass_v33
v32/03_byot_and_blockers.ipynb,v32,3.3.0,False,True,False,True,executed_pass_v33
