model_id,family,sidecar_type,isolation_strategy,attempt_result,exact_blocker,exact_isolation_command
maskdino-r50-coco,maskdino,detectron2,conda_py310_torch21,sidecar_required,detectron2_build_chain_incompatible_with_torch211_cu130,"conda create -n maskdino python=3.10 && conda activate maskdino && pip install torch==2.1.0 torchvision==0.16.0 --index-url https://download.pytorch.org/whl/cu121 && pip install detectron2 -f https://dl.fbaipublicfiles.com/detectron2/wheels/cu121/torch2.1/index.html && git clone https://github.com/IDEACVR/MaskDINO && pip install -e MaskDINO"
maskdino-r50-panoptic,maskdino,detectron2,conda_py310_torch21,sidecar_required,detectron2_build_chain_incompatible_with_torch211,"conda create -n maskdino python=3.10 && same as maskdino-r50-coco with panoptic config"
maskdino-swinl-coco,maskdino,detectron2,conda_py310_torch21,sidecar_required,detectron2_build_chain_plus_swinl_checkpoint,"conda create -n maskdino python=3.10 && same as maskdino-r50-coco with SwinL backbone checkpoint"
co-dino-inst-vit-l-coco,co-dino,openmmlab_mmcv,conda_py310_torch21_mmcv21,sidecar_required,openmmlab_co_detr_chain_mmcv21,"conda create -n codino python=3.10 && pip install torch==2.1.0 && pip install mmcv==2.1.0 -f https://download.openmmlab.com/mmcv/dist/cu121/torch2.1/index.html && pip install mmdet && git clone https://github.com/Sense-X/Co-DETR && pip install -e Co-DETR"
co-dino-inst-vit-l-lvis,co-dino,openmmlab_mmcv,conda_py310_torch21_mmcv21,sidecar_required,openmmlab_co_detr_chain_lvis_checkpoint,"same as co-dino-inst-vit-l-coco with LVIS checkpoint"
oneformer-dinat-large,oneformer,natten,conda_py310_torch21_natten,sidecar_required,natten_no_prebuilt_wheel_for_torch211,"conda create -n oneformer python=3.10 && pip install torch==2.1.0 && pip install natten==0.17.1 -f https://shi-labs.com/natten/wheels/cu121/torch2.1/index.html && git clone https://github.com/SHI-Labs/OneFormer && pip install -e OneFormer"
rtdetrv4-s,rtdetrv4,checkpoint_gdrive,user_manual_download,checkpoint_required,google_drive_gdown_abuse_filter_blocked,"gdown <drive-id-s> -O rtdetrv4_s.pth && visionservex rtdetrv4 smoke-test --checkpoint rtdetrv4_s.pth"
rtdetrv4-m,rtdetrv4,checkpoint_gdrive,user_manual_download,checkpoint_required,google_drive_gdown_abuse_filter_blocked,"gdown <drive-id-m> -O rtdetrv4_m.pth && visionservex rtdetrv4 smoke-test --checkpoint rtdetrv4_m.pth"
rtdetrv4-l,rtdetrv4,checkpoint_gdrive,user_manual_download,checkpoint_required,google_drive_gdown_abuse_filter_blocked,"gdown <drive-id-l> -O rtdetrv4_l.pth && visionservex rtdetrv4 smoke-test --checkpoint rtdetrv4_l.pth"
rtdetrv4-x,rtdetrv4,checkpoint_gdrive,user_manual_download,checkpoint_required,google_drive_gdown_abuse_filter_blocked,"gdown <drive-id-x> -O rtdetrv4_x.pth && visionservex rtdetrv4 smoke-test --checkpoint rtdetrv4_x.pth"
sam2.1-hiera-tiny,sam2.1,sam2_module,pip_install_sam2,sidecar_required,sam2_python_module_not_installed,"pip install 'sam-2>=1.0' && python -c 'import sam2; print(sam2.__version__)'"
sam2.1-hiera-small,sam2.1,sam2_module,pip_install_sam2,sidecar_required,sam2_python_module_not_installed,"pip install 'sam-2>=1.0' && python -c 'import sam2; print(sam2.__version__)'"
sam2.1-hiera-base-plus,sam2.1,sam2_module,pip_install_sam2,sidecar_required,sam2_python_module_not_installed,"pip install 'sam-2>=1.0' && python -c 'import sam2; print(sam2.__version__)'"
sam2.1-hiera-large,sam2.1,sam2_module,pip_install_sam2,sidecar_required,sam2_python_module_not_installed,"pip install 'sam-2>=1.0' && python -c 'import sam2; print(sam2.__version__)'"
