priority,model_id,family,generation,v34_state,action_taken,v35_result,artifact_path,exact_command
P0,efficientsam-onnx,efficientsam,v1,package_missing_onnx_module,export SamOnnxModel(efficientvit-sam-l0) with img_size=512 patch,ok,artifacts/v35/efficientsam_l0_decoder.onnx,python export_efficientsam_onnx.py --model efficientvit-sam-l0 --out efficientsam_l0_decoder.onnx
P1,sam2-hiera-tiny,sam2,v2,module_not_installed,VisionModel('sam2-hiera-tiny').predict(img boxes=...),ok,artifacts/v35/sam2_hiera_segmentation.json,python -c "from visionservex.core.model import VisionModel; m=VisionModel('sam2-hiera-tiny'); r=m.predict(img boxes=[[50 50 350 350]])"
P1,sam2-hiera-small,sam2,v2,module_not_installed,VisionModel('sam2-hiera-small').predict,ok,artifacts/v35/sam2_hiera_segmentation.json,python -c "from visionservex.core.model import VisionModel; VisionModel('sam2-hiera-small').predict(img boxes=...)"
P1,sam2-hiera-base-plus,sam2,v2,module_not_installed,VisionModel('sam2-hiera-base-plus').predict,ok,artifacts/v35/sam2_hiera_segmentation.json,python -c "from visionservex.core.model import VisionModel; VisionModel('sam2-hiera-base-plus').predict(img boxes=...)"
P1,sam2-hiera-large,sam2,v2,module_not_installed,VisionModel('sam2-hiera-large').predict,ok,artifacts/v35/sam2_hiera_segmentation.json,python -c "from visionservex.core.model import VisionModel; VisionModel('sam2-hiera-large').predict(img boxes=...)"
P1,sam2.1-hiera-small-video,sam2,v2.1,benchmark_passed_image_only,multi-frame sequential tracking (2 frames),ok,artifacts/v35/sam21_video_tracking.json,python -c "m=VisionModel('sam2.1-hiera-small'); m.predict(img boxes=[...]) x2 frames"
P2,sam-vit-huge-hf,sam,v1,checkpoint_missing,VisionModel('sam-vit-huge') via HF sam_hf engine (facebook/sam-vit-huge),ok,artifacts/v35/sam_vit_hf_results.json,python -c "VisionModel('sam-vit-huge').predict(img boxes=...)"
P2,sam-vit-large-hf,sam,v1,checkpoint_missing,VisionModel('sam-vit-large') via HF sam_hf engine (facebook/sam-vit-large),ok,artifacts/v35/sam_vit_hf_results.json,python -c "VisionModel('sam-vit-large').predict(img boxes=...)"
P3,dinov2-large,dinov2,v2,add_now,VisionModel('dinov2-large').predict embed,ok,artifacts/v35/dinov2_lg_embed_results.json,python -c "VisionModel('dinov2-large').predict(img)"
P3,dinov2-giant,dinov2,v2,add_now,VisionModel('dinov2-giant').predict embed,ok,artifacts/v35/dinov2_lg_embed_results.json,python -c "VisionModel('dinov2-giant').predict(img)"
P3,grounding-dino-tiny,gdino,v1,add_now,VisionModel('grounding-dino-tiny').predict text,ok,artifacts/v35/grounding_dino_variants.json,python -c "VisionModel('grounding-dino-tiny').predict(img text='person . car')"
P3,grounding-dino-swin-b,gdino,v1,status_set_no_evidence,VisionModel('grounding-dino-swin-b') new evidence run,ok,artifacts/v35/grounding_dino_variants.json,python -c "VisionModel('grounding-dino-swin-b').predict(img text='person . car')"
P4,medsam,medsam,v1,add_now,VisionModel('medsam').predict via sam_hf engine,ok,artifacts/v35/medsam2_result.json,python -c "VisionModel('medsam').predict(img boxes=...)"
P4,gd-swint-sam2-tiny-pipeline,pipeline,mixed,not_executed,VisionModel(gd-swin-t)+VisionModel(sam2-hiera-tiny),ok,artifacts/v35/v35_pipeline_results.json,python pipeline_demo.py --det grounding-dino-swin-t --seg sam2-hiera-tiny
P4,gd-swinb-sam21-small-pipeline,pipeline,mixed,not_executed,VisionModel(gd-swin-b)+VisionModel(sam2.1-hiera-small),ok,artifacts/v35/v35_pipeline_results.json,python pipeline_demo.py --det grounding-dino-swin-b --seg sam2.1-hiera-small
P5,maskdino-r50-coco,maskdino,v1,sidecar_required,documented detectron2 blocker,sidecar_required,artifacts/v35/maskdino_sidecar_attempt.json,conda create -n maskdino python=3.10 && pip install detectron2 -f ...
P5,rtdetrv4-s,rtdetrv4,v4,checkpoint_only_stub,checkpoint cached 169MB no runner,checkpoint_only,artifacts/v35/rtdetrv4_attempt.json,pip install rt-detr-official
P6,sam3-base,sam3,v3,auth_required,BYOT token redaction verified,auth_required,n/a,export HF_TOKEN=hf_xxx && visionservex sam3 status --model sam3-base
