execution_id,task,model_id,engine,result_task,status,latency_ms,metric,artifact,artifact_exists,error
1,clip,openai/clip-vit-base-patch32,clip/transformers,image_embedding,ok,2353.4,512,notebook/99_final_report/artifacts/v37/clip_vit_b32_embed.npy,True,
2,depth,LiheYoung/depth-anything-small-hf,depth_anything/transformers,monocular_depth,ok,1182.4,,notebook/99_final_report/artifacts/v37/depth_anything_small.npy,True,
3,dino:dino-vits8,facebook/dino-vits8,dino/transformers,embedding_ssl,ok,984.3,384,notebook/99_final_report/artifacts/v37/dino_vits8_embed.npy,True,
4,dinov2:dinov2-base,facebook/dinov2-base,dinov2/transformers,embedding,ok,948.4,768,notebook/99_final_report/artifacts/v37/dinov2-base_embed.npy,True,
5,dinov2:dinov2-giant,facebook/dinov2-giant,dinov2/transformers,embedding,ok,1988.0,1536,notebook/99_final_report/artifacts/v37/dinov2-giant_embed.npy,True,
6,dinov2:dinov2-large,facebook/dinov2-large,dinov2/transformers,embedding,ok,1194.4,1024,notebook/99_final_report/artifacts/v37/dinov2-large_embed.npy,True,
7,dinov2:dinov2-small,facebook/dinov2-small,dinov2/transformers,embedding,ok,913.2,384,notebook/99_final_report/artifacts/v37/dinov2-small_embed.npy,True,
8,efficientsam_onnx,efficientsam_onnx,onnxruntime,onnx_decoder_runtime_smoke,ok,218.5,16501731,notebook/99_final_report/artifacts/v35/efficientsam_l0_decoder.onnx,True,
9,gdino:grounding-dino-base,IDEA-Research/grounding-dino-base,grounding_dino/transformers,open_vocab_detect,ok,6168.0,3,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-base.json,True,
10,gdino:grounding-dino-tiny,IDEA-Research/grounding-dino-tiny,grounding_dino/transformers,open_vocab_detect,ok,4825.8,5,notebook/99_final_report/artifacts/v37/gdino_grounding-dino-tiny.json,True,
11,locateanything,locateanything,sidecar(NVlabs/Eagle),grounded_detect,blocked,,,notebook/99_final_report/artifacts/v37/locateanything_status.json,True,
12,mobilesam_onnx,mobilesam_onnx,onnx_export+onnxruntime,onnx_decoder_export_and_runtime,ok,,16501737,notebook/99_final_report/artifacts/v37/mobilesam_decoder.onnx,True,
13,mobilesam_seg,mobilesam_seg,mobile_sam,promptable_segmentation,ok,451.3,3983,notebook/99_final_report/artifacts/v37/mobilesam_mask.npy,True,
14,owlv2,google/owlv2-base-patch16-ensemble,owlv2/transformers,open_vocab_detect,ok,4643.0,,notebook/99_final_report/artifacts/v37/owlv2_detect.json,True,
15,owlvit,google/owlvit-base-patch32,owlvit/transformers,open_vocab_detect,ok,2055.5,,notebook/99_final_report/artifacts/v37/owlvit_b32_detect.json,True,
16,pipe:grounding-dino-swin-b+sam-vit-huge,grounding-dino-swin-b+sam-vit-huge,pipeline,text_to_mask,ok,17431.7,48389,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-swin-b__sam-vit-huge.json,True,
17,pipe:grounding-dino-swin-b+sam-vit-large,grounding-dino-swin-b+sam-vit-large,pipeline,text_to_mask,ok,14287.5,48454,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-swin-b__sam-vit-large.json,True,
18,pipe:grounding-dino-swin-b+sam2.1-hiera-large,grounding-dino-swin-b+sam2.1-hiera-large,pipeline,text_to_mask,ok,12083.9,48574,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-swin-b__sam2.1-hiera-large.json,True,
19,pipe:grounding-dino-swin-b+sam2.1-hiera-small,grounding-dino-swin-b+sam2.1-hiera-small,pipeline,text_to_mask,ok,10007.1,46245,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-swin-b__sam2.1-hiera-small.json,True,
20,pipe:grounding-dino-tiny+sam-vit-base,grounding-dino-tiny+sam-vit-base,pipeline,text_to_mask,ok,9574.9,48309,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-tiny__sam-vit-base.json,True,
21,pipe:grounding-dino-tiny+sam-vit-huge,grounding-dino-tiny+sam-vit-huge,pipeline,text_to_mask,ok,15962.6,48399,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-tiny__sam-vit-huge.json,True,
22,pipe:grounding-dino-tiny+sam2-hiera-tiny,grounding-dino-tiny+sam2-hiera-tiny,pipeline,text_to_mask,ok,8649.9,48665,notebook/99_final_report/artifacts/v37/pipeline_grounding-dino-tiny__sam2-hiera-tiny.json,True,
23,rfdetrseg:large,rfdetr-seg-large,rfdetr,instance_segmentation,ok,1268.3,3,notebook/99_final_report/artifacts/v37/rfdetr_seg_large.json,True,
24,rfdetrseg:medium,rfdetr-seg-medium,rfdetr,instance_segmentation,ok,1113.0,5,notebook/99_final_report/artifacts/v37/rfdetr_seg_medium.json,True,
25,rfdetrseg:nano,rfdetr-seg-nano,rfdetr,instance_segmentation,ok,951.9,1,notebook/99_final_report/artifacts/v37/rfdetr_seg_nano.json,True,
26,rfdetrseg:small,rfdetr-seg-small,rfdetr,instance_segmentation,ok,998.8,3,notebook/99_final_report/artifacts/v37/rfdetr_seg_small.json,True,
27,sam1_hf:sam-vit-base,facebook/sam-vit-base,sam_hf/transformers,promptable_segmentation,ok,3126.4,9078,notebook/99_final_report/artifacts/v37/sam-vit-base_mask.npy,True,
28,sam1_hf:sam-vit-huge,facebook/sam-vit-huge,sam_hf/transformers,promptable_segmentation,ok,9494.8,1937,notebook/99_final_report/artifacts/v37/sam-vit-huge_mask.npy,True,
29,sam1_hf:sam-vit-large,facebook/sam-vit-large,sam_hf/transformers,promptable_segmentation,ok,6017.5,2569,notebook/99_final_report/artifacts/v37/sam-vit-large_mask.npy,True,
30,sam1_onnx:sam-vit-b,sam-vit-b,onnx_export+onnxruntime,onnx_decoder_export_and_runtime,ok,,16500614,notebook/99_final_report/artifacts/v37/sam-vit-b_decoder.onnx,True,
31,sam21_onnx_attempt,sam21_onnx_attempt,n/a,sam21_onnx_export_attempt,blocked,,,notebook/99_final_report/artifacts/v37/sam21_onnx_attempt.json,True,
32,sam2:sam2-hiera-large,sam2-hiera-large,,promptable_segmentation,ok,6248.5,8505,,False,
33,sam2:sam2-hiera-small,sam2-hiera-small,,promptable_segmentation,ok,4192.5,67345,,False,
34,sam2:sam2-hiera-tiny,sam2-hiera-tiny,,promptable_segmentation,ok,4074.3,86575,,False,
35,sam2:sam2.1-hiera-base-plus,sam2.1-hiera-base-plus,,promptable_segmentation,ok,4615.2,9775,,False,
36,sam2:sam2.1-hiera-large,sam2.1-hiera-large,,promptable_segmentation,ok,6337.3,2012,,False,
37,sam2:sam2.1-hiera-small,sam2.1-hiera-small,,promptable_segmentation,ok,4179.5,61223,,False,
38,sam2:sam2.1-hiera-tiny,sam2.1-hiera-tiny,,promptable_segmentation,ok,4076.9,7220,,False,
39,sam2video:sam2.1-hiera-small,sam2.1-hiera-small,,video_object_tracking,ok,10343.3,6,,False,
40,sam2video:sam2.1-hiera-tiny,sam2.1-hiera-tiny,,video_object_tracking,ok,9677.3,6,,False,
