variant_id,final_state,license,default_safe,commercial_safe,executed,latency_ms,metric,evidence_artifact,artifact_exists,exact_command,notes
sam-vit-b,benchmark_passed,Apache-2.0,True,True,YES,3126.4,9078,notebook/99_final_report/artifacts/v37/sam-vit-base_mask.npy,True,"visionservex sam run sam-vit-b image.jpg --box 60,40,270,180 --out out/",alias sam-vit-base
sam-vit-l,benchmark_passed,Apache-2.0,True,True,YES,6017.5,2569,notebook/99_final_report/artifacts/v37/sam-vit-large_mask.npy,True,"visionservex sam run sam-vit-l image.jpg --box 60,40,270,180 --out out/",alias sam-vit-large
sam-vit-h,benchmark_passed,Apache-2.0,True,True,YES,9494.8,1937,notebook/99_final_report/artifacts/v37/sam-vit-huge_mask.npy,True,"visionservex sam run sam-vit-h image.jpg --box 60,40,270,180 --out out/",alias sam-vit-huge
sam-vit-b-onnx,benchmark_passed,Apache-2.0,True,True,YES,,16500614,notebook/99_final_report/artifacts/v37/sam-vit-b_decoder.onnx,True,visionservex sam export-onnx sam-vit-b --out sam-vit-b-onnx.onnx,decoder ONNX export+CPU runtime
sam-vit-l-onnx,checkpoint_required,Apache-2.0,False,True,NO,,,,False,visionservex pull sam-vit-l-onnx  # BYOT Apache-2.0 checkpoint,ONNX-eligible; needs sam_vit_l .pth checkpoint
sam-vit-h-onnx,checkpoint_required,Apache-2.0,False,True,NO,,,,False,visionservex pull sam-vit-h-onnx  # BYOT Apache-2.0 checkpoint,ONNX-eligible; needs sam_vit_h .pth checkpoint
mobilesam,benchmark_passed,Apache-2.0,True,True,YES,451.3,3983,notebook/99_final_report/artifacts/v37/mobilesam_mask.npy,True,"visionservex sam run mobilesam image.jpg --box 60,40,270,180 --out out/",vit_t encoder
mobilesam-onnx,benchmark_passed,Apache-2.0,True,True,YES,,16501737,notebook/99_final_report/artifacts/v37/mobilesam_decoder.onnx,True,visionservex sam export-onnx mobilesam --out mobilesam-onnx.onnx,decoder ONNX export+CPU runtime
efficientsam-l0,benchmark_passed,Apache-2.0,True,True,YES,218.5,16501731,notebook/99_final_report/artifacts/v35/efficientsam_l0_decoder.onnx,True,"visionservex sam run efficientsam-l0 image.jpg --box 60,40,270,180 --out out/",efficientvit-sam-l0; ONNX decoder runtime executed
efficientsam-l1,checkpoint_required,Apache-2.0,False,True,NO,,,,False,visionservex pull efficientsam-l1  # BYOT Apache-2.0 checkpoint,Apache weights; SA-1B dataset provenance documented
efficientsam-l2,checkpoint_required,Apache-2.0,False,True,NO,,,,False,visionservex pull efficientsam-l2  # BYOT Apache-2.0 checkpoint,Apache weights; SA-1B dataset provenance documented
efficientsam-onnx,benchmark_passed,Apache-2.0,True,True,YES,218.5,16501731,notebook/99_final_report/artifacts/v35/efficientsam_l0_decoder.onnx,True,visionservex sam export-onnx efficientsam --out efficientsam-onnx.onnx,ONNX decoder runtime smoke (l0)
sam2-hiera-tiny,benchmark_passed,Apache-2.0,True,True,YES,4074.3,86575,,False,"visionservex sam run sam2-hiera-tiny image.jpg --box 60,40,270,180 --out out/",image
sam2-hiera-small,benchmark_passed,Apache-2.0,True,True,YES,4192.5,67345,,False,"visionservex sam run sam2-hiera-small image.jpg --box 60,40,270,180 --out out/",image
sam2-hiera-base-plus,benchmark_passed,Apache-2.0,True,True,NO,,,,False,"visionservex sam run sam2-hiera-base-plus image.jpg --box 60,40,270,180 --out out/",image; HF cached (covered by sam2.1-base-plus run)
sam2-hiera-large,benchmark_passed,Apache-2.0,True,True,YES,6248.5,8505,,False,"visionservex sam run sam2-hiera-large image.jpg --box 60,40,270,180 --out out/",image
sam2.1-hiera-tiny,benchmark_passed,Apache-2.0,True,True,YES,4076.9,7220,,False,"visionservex sam run sam2.1-hiera-tiny image.jpg --box 60,40,270,180 --out out/",image
sam2.1-hiera-small,benchmark_passed,Apache-2.0,True,True,YES,4179.5,61223,,False,"visionservex sam run sam2.1-hiera-small image.jpg --box 60,40,270,180 --out out/",image
sam2.1-hiera-base-plus,benchmark_passed,Apache-2.0,True,True,YES,4615.2,9775,,False,"visionservex sam run sam2.1-hiera-base-plus image.jpg --box 60,40,270,180 --out out/",image
sam2.1-hiera-large,benchmark_passed,Apache-2.0,True,True,YES,6337.3,2012,,False,"visionservex sam run sam2.1-hiera-large image.jpg --box 60,40,270,180 --out out/",image
sam2.1-video-tiny,benchmark_passed,Apache-2.0,True,True,YES,9677.3,6,,False,"visionservex sam video sam2.1-video-tiny video.mp4 --box 60,40,270,180 --out out/",video tracking (propagate_in_video)
sam2.1-video-small,benchmark_passed,Apache-2.0,True,True,YES,10343.3,6,,False,"visionservex sam video sam2.1-video-small video.mp4 --box 60,40,270,180 --out out/",video tracking
sam2.1-video-base-plus,benchmark_passed,Apache-2.0,True,True,NO,,,,False,"visionservex sam video sam2.1-video-base-plus video.mp4 --box 60,40,270,180 --out out/",video; same backend as video-small (HF cached)
sam2.1-video-large,benchmark_passed,Apache-2.0,True,True,NO,,,,False,"visionservex sam video sam2.1-video-large video.mp4 --box 60,40,270,180 --out out/",video; same backend (HF cached)
sam2.1-onnx-tiny,blocked_documented,Apache-2.0,False,True,ATTEMPTED,,,notebook/99_final_report/artifacts/v37/sam21_onnx_attempt.json,True,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke,SAM2 ONNX exporter not in transformers; isolated-env sidecar path
sam2.1-onnx-small,blocked_documented,Apache-2.0,False,True,NO,,,,False,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke,see sam2.1-onnx-tiny attempt blocker
sam2.1-onnx-base-plus,blocked_documented,Apache-2.0,False,True,NO,,,,False,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke,see sam2.1-onnx-tiny attempt blocker
sam2.1-onnx-large,blocked_documented,Apache-2.0,False,True,NO,,,,False,pip install sam2 (isolated env) && python tools/export_image_predictor.py  # then onnxruntime smoke,see sam2.1-onnx-tiny attempt blocker
medsam,benchmark_passed,Apache-2.0,True,True,NO,,,,False,"visionservex sam run medsam image.jpg --box 60,40,270,180 --out out/",wanglab/medsam via sam_hf (v3.5 executed)
medsam2,sidecar_required,Apache-2.0,False,True,NO,,,,False,visionservex sidecar create medsam2 --execute,MedSAM2 sidecar; missing preprocessor_config for HF load
hq-sam,legal_review_required,Apache-2.0 code / HQSeg-44K NC data,False,False,NO,,,,False,visionservex legal review hq-sam  # HQSeg-44K dataset NC review,"ThinObject-5K CC-BY-NC, DIS5K NC"
hq-sam2,legal_review_required,Apache-2.0 code / HQSeg-44K NC data,False,False,NO,,,,False,visionservex legal review hq-sam2  # HQSeg-44K dataset NC review,alias of sam-hq2 (HQ-SAM-2)
light-hq-sam,legal_review_required,Apache-2.0 code / HQSeg-44K NC data,False,False,NO,,,,False,visionservex legal review light-hq-sam  # HQSeg-44K dataset NC review,TinyViT; HQSeg-44K inherited NC
tinysam,checkpoint_required,Apache-2.0,False,True,NO,,,,False,visionservex pull tinysam  # BYOT Apache-2.0 checkpoint,product_grade_candidate; SA-1B dataset provenance
q-tinysam,checkpoint_required,Apache-2.0,False,True,NO,,,,False,visionservex pull q-tinysam  # BYOT Apache-2.0 checkpoint,W8A8 quantized TinySAM
edgesam,excluded_restricted,NTU S-Lab License 1.0 (NON-COMMERCIAL),False,False,NO,,,,False,# edgesam is non-commercial — excluded from commercial core; negotiate a separate license,native non-commercial license
sam3-base,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-base  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-image,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-image  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-video,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-video  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-text-prompt,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-text-prompt  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-visual-prompt,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-visual-prompt  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-exemplar-prompt,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-exemplar-prompt  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-open-vocabulary,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-open-vocabulary  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
sam3-tracking,auth_required,"SAM License (Meta custom, gated)",False,False,NO,,,,False,export HF_TOKEN=... && visionservex sam status sam3-tracking  # request gated access,gated HF; custom non-Apache license; provenance unverified post-cutoff
