repo,type,state,next_command,token_used
facebook/dinov3-vits16-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-vits16-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vits16plus-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-vits16plus-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vitb16-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-vitb16-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vitl16-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-vitl16-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vitl16-pretrain-sat493m,model,access_granted,snapshot_download('facebook/dinov3-vitl16-pretrain-sat493m'),hf_***FW
facebook/dinov3-vith16plus-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-vith16plus-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vit7b16-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-vit7b16-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vit7b16-pretrain-sat493m,model,access_granted,snapshot_download('facebook/dinov3-vit7b16-pretrain-sat493m'),hf_***FW
facebook/dinov3-convnext-tiny-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-convnext-tiny-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-convnext-small-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-convnext-small-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-convnext-base-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-convnext-base-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-convnext-large-pretrain-lvd1689m,model,access_granted,snapshot_download('facebook/dinov3-convnext-large-pretrain-lvd1689m'),hf_***FW
facebook/dinov3-vitl16-chmv2-dpt-head,model,access_granted,snapshot_download('facebook/dinov3-vitl16-chmv2-dpt-head'),hf_***FW
facebook/sam3,model,access_granted,snapshot_download('facebook/sam3'),hf_***FW
facebook/sam3.1,model,access_granted,snapshot_download('facebook/sam3.1'),hf_***FW
facebook/SACo-Gold,dataset,not_found,Verify repo exists: facebook/SACo-Gold,hf_***FW
facebook/SACo-Silver,dataset,not_found,Verify repo exists: facebook/SACo-Silver,hf_***FW
facebook/SACo-VEval,dataset,not_found,Verify repo exists: facebook/SACo-VEval,hf_***FW
facebook/SA-FARI,dataset,not_found,Verify repo exists: facebook/SA-FARI,hf_***FW
