file_name,original_path,new_path,size_mb
mobile_sam.pt,notebook/mobile_sam.pt,notebook/models/checkpoints/mobile_sam/mobile_sam.pt,40.7
sam_b.pt,notebook/sam_b.pt,notebook/models/checkpoints/sam/sam_b.pt,375.0
sam_l.pt,notebook/sam_l.pt,notebook/models/checkpoints/sam/sam_l.pt,1249.5
sam2_b.pt,notebook/sam2_b.pt,notebook/models/checkpoints/sam2/sam2_b.pt,161.9
sam2_l.pt,notebook/sam2_l.pt,notebook/models/checkpoints/sam2/sam2_l.pt,449.2
sam2_s.pt,notebook/sam2_s.pt,notebook/models/checkpoints/sam2/sam2_s.pt,92.3
sam2_t.pt,notebook/sam2_t.pt,notebook/models/checkpoints/sam2/sam2_t.pt,78.1
sam2.1_b.pt,notebook/sam2.1_b.pt,notebook/models/checkpoints/sam2/sam2.1_b.pt,161.9
sam2.1_l.pt,notebook/sam2.1_l.pt,notebook/models/checkpoints/sam2/sam2.1_l.pt,449.2
sam2.1_s.pt,notebook/sam2.1_s.pt,notebook/models/checkpoints/sam2/sam2.1_s.pt,92.3
sam2.1_t.pt,notebook/sam2.1_t.pt,notebook/models/checkpoints/sam2/sam2.1_t.pt,78.1
rf-detr-seg-small.pt,notebook/rf-detr-seg-small.pt,notebook/models/checkpoints/rfdetr_seg/rf-detr-seg-small.pt,135.0
rf-detr-base.pth,notebook/rf-detr-base.pth,notebook/models/checkpoints/rfdetr/rf-detr-base.pth,372.6
rf-detr-large-2026.pth,notebook/rf-detr-large-2026.pth,notebook/models/checkpoints/rfdetr/rf-detr-large-2026.pth,136.0
rf-detr-medium.pth,notebook/rf-detr-medium.pth,notebook/models/checkpoints/rfdetr/rf-detr-medium.pth,405.0
rf-detr-nano.pth,notebook/rf-detr-nano.pth,notebook/models/checkpoints/rfdetr/rf-detr-nano.pth,366.3
rf-detr-small.pth,notebook/rf-detr-small.pth,notebook/models/checkpoints/rfdetr/rf-detr-small.pth,386.0
rtdetr-l.pt,notebook/rtdetr-l.pt,notebook/models/checkpoints/rtdetr/rtdetr-l.pt,66.5
rtdetr-x.pt,notebook/rtdetr-x.pt,notebook/models/checkpoints/rtdetr/rtdetr-x.pt,135.8
yolo11l-seg.pt,notebook/yolo11l-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo11l-seg.pt,56.1
yolo11l.pt,notebook/yolo11l.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo11l.pt,51.4
yolo11m-seg.pt,notebook/yolo11m-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo11m-seg.pt,45.4
yolo11m.pt,notebook/yolo11m.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo11m.pt,40.7
yolo11n-seg.pt,notebook/yolo11n-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo11n-seg.pt,6.2
yolo11n.pt,notebook/yolo11n.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo11n.pt,5.6
yolo11s-seg.pt,notebook/yolo11s-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo11s-seg.pt,20.7
yolo11s.pt,notebook/yolo11s.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo11s.pt,19.3
yolo11x-seg.pt,notebook/yolo11x-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo11x-seg.pt,125.1
yolo11x.pt,notebook/yolo11x.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo11x.pt,114.6
yolo12l.pt,notebook/yolo12l.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo12l.pt,53.7
yolo12m.pt,notebook/yolo12m.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo12m.pt,40.9
yolo12n.pt,notebook/yolo12n.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo12n.pt,5.6
yolo12s.pt,notebook/yolo12s.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo12s.pt,19.0
yolo12x.pt,notebook/yolo12x.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo12x.pt,119.3
yolo26l-seg.pt,notebook/yolo26l-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo26l-seg.pt,63.7
yolo26l.pt,notebook/yolo26l.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo26l.pt,53.2
yolo26m-seg.pt,notebook/yolo26m-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo26m-seg.pt,54.8
yolo26m.pt,notebook/yolo26m.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo26m.pt,44.3
yolo26n-seg.pt,notebook/yolo26n-seg.pt,notebook/models/checkpoints/ultralytics_seg/yolo26n-seg.pt,6.7
yolo26n.pt,notebook/yolo26n.pt,notebook/models/checkpoints/ultralytics_yolo_new/yolo26n.pt,5.5
