model_id,task,final_state,blocker_code,fix,package_bug,external_blocker
swinv2-large,classify,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,"Retry the command; if still failing, set HF_TOKEN. Brotli decoder issue is transient.",False,True
siglip-base-patch16-224,embed,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,"Retry the command; if still failing, set HF_TOKEN.",False,True
oneformer-convnext-large,segment,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,Retry the command; HF network was transient.,False,True
oneformer-dinat-large,segment,dependency_required,NATTEN_REQUIRED,pip install natten,False,True
florence-2-base,vlm,dependency_required,FLORENCE2_TRANSFORMERS_VERSION_REQUIRED,"pip install 'transformers>=4.40,<5.0' (preferably in a sidecar/profile)",False,True
florence-2-large,vlm,dependency_required,FLORENCE2_TRANSFORMERS_VERSION_REQUIRED,"pip install 'transformers>=4.40,<5.0' (preferably in a sidecar/profile)",False,True
bytetrack,tracking,expected_blocker,BYTETRACK_REQUIRED,pip install bytetracker  # or git clone https://github.com/ifzhang/ByteTrack,False,True
oc-sort,tracking,expected_blocker,OCSORT_REQUIRED,pip install ocsort  # or git clone https://github.com/noahcao/OC_SORT,False,True
osnet,reid,expected_blocker,TORCHREID_REQUIRED,pip install torchreid  # or: pip install git+https://github.com/KaiyangZhou/deep-person-reid,False,True
rtdetrv4-s,detect,manual_checkpoint_required,MANUAL_CHECKPOINT_REQUIRED,gdown -O /home/arash/.cache/visionservex/sidecars/rtdetrv4/checkpoints/rtdetrv4-s.pth https://drive.google.com/uc?id=1jDAVxblqRPEWed7Hxm6GwcEl7z,False,True
rtdetrv4-m,detect,manual_checkpoint_required,MANUAL_CHECKPOINT_REQUIRED,gdown -O /home/arash/.cache/visionservex/sidecars/rtdetrv4/checkpoints/rtdetrv4-m.pth https://drive.google.com/uc?id=1O-YpP4X-quuOXbi96y2TKkztbj,False,True
rtdetrv4-l,detect,manual_checkpoint_required,MANUAL_CHECKPOINT_REQUIRED,gdown -O /home/arash/.cache/visionservex/sidecars/rtdetrv4/checkpoints/rtdetrv4-l.pth https://drive.google.com/uc?id=1shO9EzZvXZyKedE2urLsN4dwEv,False,True
rtdetrv4-x,detect,manual_checkpoint_required,MANUAL_CHECKPOINT_REQUIRED,gdown -O /home/arash/.cache/visionservex/sidecars/rtdetrv4/checkpoints/rtdetrv4-x.pth https://drive.google.com/uc?id=19gnkMTgFveJsrOvSmEPQXCTG6v,False,True
