model_id,family,task,weight_license,license_risk,auto_pull,url
libreyolo-yolox-n,yolox,detect,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXn/resolve/main/LibreYOLOXn.pt
libreyolo-yolox-n-seg,yolox,segment,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXn-seg/resolve/main/LibreYOLOXn-seg.pt
libreyolo-yolox-t,yolox,detect,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXt/resolve/main/LibreYOLOXt.pt
libreyolo-yolox-t-seg,yolox,segment,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXt-seg/resolve/main/LibreYOLOXt-seg.pt
libreyolo-yolox-s,yolox,detect,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXs/resolve/main/LibreYOLOXs.pt
libreyolo-yolox-s-seg,yolox,segment,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXs-seg/resolve/main/LibreYOLOXs-seg.pt
libreyolo-yolox-m,yolox,detect,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXm/resolve/main/LibreYOLOXm.pt
libreyolo-yolox-m-seg,yolox,segment,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXm-seg/resolve/main/LibreYOLOXm-seg.pt
libreyolo-yolox-l,yolox,detect,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXl/resolve/main/LibreYOLOXl.pt
libreyolo-yolox-l-seg,yolox,segment,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXl-seg/resolve/main/LibreYOLOXl-seg.pt
libreyolo-yolox-x,yolox,detect,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXx/resolve/main/LibreYOLOXx.pt
libreyolo-yolox-x-seg,yolox,segment,Apache-2.0,none,True,https://huggingface.co/LibreYOLO/LibreYOLOXx-seg/resolve/main/LibreYOLOXx-seg.pt
libreyolo-yolo9-t,yolo9,detect,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9t/resolve/main/LibreYOLO9t.pt
libreyolo-yolo9-t-seg,yolo9,segment,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9t-seg/resolve/main/LibreYOLO9t-seg.pt
libreyolo-yolo9-s,yolo9,detect,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9s/resolve/main/LibreYOLO9s.pt
libreyolo-yolo9-s-seg,yolo9,segment,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9s-seg/resolve/main/LibreYOLO9s-seg.pt
libreyolo-yolo9-m,yolo9,detect,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9m/resolve/main/LibreYOLO9m.pt
libreyolo-yolo9-m-seg,yolo9,segment,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9m-seg/resolve/main/LibreYOLO9m-seg.pt
libreyolo-yolo9-c,yolo9,detect,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9c/resolve/main/LibreYOLO9c.pt
libreyolo-yolo9-c-seg,yolo9,segment,GPL-3.0,gpl,False,https://huggingface.co/LibreYOLO/LibreYOLO9c-seg/resolve/main/LibreYOLO9c-seg.pt
libreyolo-yolonas-s,yolonas,detect,"Deci-AI YOLO-NAS proprietary, non-commercial",non_commercial,False,https://d2gjn4b69gu75n.cloudfront.net/models/yolo_nas_s_coco.pth
libreyolo-yolonas-s-seg,yolonas,segment,"Deci-AI YOLO-NAS proprietary, non-commercial",non_commercial,False,https://d2gjn4b69gu75n.cloudfront.net/models/yolo_nas_s_coco.pth
libreyolo-yolonas-m,yolonas,detect,"Deci-AI YOLO-NAS proprietary, non-commercial",non_commercial,False,https://d2gjn4b69gu75n.cloudfront.net/models/yolo_nas_m_coco.pth
libreyolo-yolonas-m-seg,yolonas,segment,"Deci-AI YOLO-NAS proprietary, non-commercial",non_commercial,False,https://d2gjn4b69gu75n.cloudfront.net/models/yolo_nas_m_coco.pth
libreyolo-yolonas-l,yolonas,detect,"Deci-AI YOLO-NAS proprietary, non-commercial",non_commercial,False,https://d2gjn4b69gu75n.cloudfront.net/models/yolo_nas_l_coco.pth
