model_id,family,task,command,final_state,blocker_code,fix,output_json_path,draw_path,runtime_ms,schema_valid,package_bug,external_blocker,evidence_file
convnextv2-base,convnextv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict convnextv2-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_convnextv2-base.json,smoke_passed,,,/tmp/vsx_smoke_convnextv2-base.json,,4696.207829008927,True,False,False,/tmp/vsx_smoke_convnextv2-base.json
convnextv2-large,convnextv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict convnextv2-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_convnextv2-large.json,smoke_passed,,,/tmp/vsx_smoke_convnextv2-large.json,,4506.540079994011,True,False,False,/tmp/vsx_smoke_convnextv2-large.json
convnextv2-tiny,convnextv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict convnextv2-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_convnextv2-tiny.json,smoke_passed,,,/tmp/vsx_smoke_convnextv2-tiny.json,,4389.501117999316,True,False,False,/tmp/vsx_smoke_convnextv2-tiny.json
maxvit-tiny-tf-224,maxvit,classify,/home/arash/miniconda3/bin/python -m visionservex predict maxvit-tiny-tf-224 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_maxvit-tiny-tf-224.json,smoke_passed,,,/tmp/vsx_smoke_maxvit-tiny-tf-224.json,,4830.405732995132,True,False,False,/tmp/vsx_smoke_maxvit-tiny-tf-224.json
swinv2-base,swinv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-base.json,smoke_passed,,,/tmp/vsx_smoke_swinv2-base.json,,4775.7638189941645,True,False,False,/tmp/vsx_smoke_swinv2-base.json
swinv2-large,swinv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-large.json,expected_blocker,DOWNLOAD_FAILED,,/tmp/vsx_smoke_swinv2-large.json,,3730.802730002324,False,False,True,/tmp/vsx_smoke_swinv2-large.json
swinv2-small,swinv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-small.json,smoke_passed,,,/tmp/vsx_smoke_swinv2-small.json,,4566.390178995789,True,False,False,/tmp/vsx_smoke_swinv2-small.json
swinv2-tiny,swinv2,classify,/home/arash/miniconda3/bin/python -m visionservex predict swinv2-tiny /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_swinv2-tiny.json,smoke_passed,,,/tmp/vsx_smoke_swinv2-tiny.json,,4602.628512002411,True,False,False,/tmp/vsx_smoke_swinv2-tiny.json
dfine-l,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-l /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-l.json,smoke_passed,,,/tmp/vsx_smoke_dfine-l.json,,4429.035762994317,True,False,False,/tmp/vsx_smoke_dfine-l.json
dfine-l-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-l-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-l-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-l-coco.json,,4436.44078100624,True,False,False,/tmp/vsx_smoke_dfine-l-coco.json
dfine-l-o365-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-l-o365-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-l-o365-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-l-o365-coco.json,,4415.062559011858,True,False,False,/tmp/vsx_smoke_dfine-l-o365-coco.json
dfine-m,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-m /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-m.json,smoke_passed,,,/tmp/vsx_smoke_dfine-m.json,,4366.520440991735,True,False,False,/tmp/vsx_smoke_dfine-m.json
dfine-m-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-m-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-m-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-m-coco.json,,4347.8064149967395,True,False,False,/tmp/vsx_smoke_dfine-m-coco.json
dfine-m-o365-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-m-o365-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-m-o365-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-m-o365-coco.json,,4389.394712008652,True,False,False,/tmp/vsx_smoke_dfine-m-o365-coco.json
dfine-n,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-n /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-n.json,smoke_passed,,,/tmp/vsx_smoke_dfine-n.json,,4359.722010005498,True,False,False,/tmp/vsx_smoke_dfine-n.json
dfine-n-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-n-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-n-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-n-coco.json,,4353.476107993629,True,False,False,/tmp/vsx_smoke_dfine-n-coco.json
dfine-s,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-s /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-s.json,smoke_passed,,,/tmp/vsx_smoke_dfine-s.json,,4333.453393002856,True,False,False,/tmp/vsx_smoke_dfine-s.json
dfine-s-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-s-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-s-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-s-coco.json,,4332.920394997927,True,False,False,/tmp/vsx_smoke_dfine-s-coco.json
dfine-s-o365-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-s-o365-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-s-o365-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-s-o365-coco.json,,4333.165503005148,True,False,False,/tmp/vsx_smoke_dfine-s-o365-coco.json
dfine-x,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-x /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-x.json,smoke_passed,,,/tmp/vsx_smoke_dfine-x.json,,4474.704289008514,True,False,False,/tmp/vsx_smoke_dfine-x.json
dfine-x-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-x-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-x-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-x-coco.json,,4552.571310996427,True,False,False,/tmp/vsx_smoke_dfine-x-coco.json
dfine-x-o365-coco,dfine,detect,/home/arash/miniconda3/bin/python -m visionservex predict dfine-x-o365-coco /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_dfine-x-o365-coco.json,smoke_passed,,,/tmp/vsx_smoke_dfine-x-o365-coco.json,,4431.056941000861,True,False,False,/tmp/vsx_smoke_dfine-x-o365-coco.json
