hf_model_id,family,task,weight_filename,weight_size_bytes,license,license_source,auto_pull_allowed,default_safe,blocker_code,downloads,last_modified
LibreYOLO/LibreYOLOXn,yolox,detection,LibreYOLOXn.pt,7694953,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:43+00:00
LibreYOLO/LibreYOLOXt,yolox,detection,LibreYOLOXt.pt,40755013,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:45+00:00
LibreYOLO/LibreYOLOXs,yolox,detection,LibreYOLOXs.pt,72089125,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:47+00:00
LibreYOLO/LibreYOLOXm,yolox,detection,LibreYOLOXm.pt,203114461,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:49+00:00
LibreYOLO/LibreYOLOXl,yolox,detection,LibreYOLOXl.pt,434357141,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:51+00:00
LibreYOLO/LibreYOLOXx,yolox,detection,LibreYOLOXx.pt,793463373,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:53+00:00
LibreYOLO/LibreYOLO9t,yolov9,detection,LibreYOLO9t.pt,8627104,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:54+00:00
LibreYOLO/LibreYOLO9s,yolov9,detection,LibreYOLO9s.pt,29453600,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:55+00:00
LibreYOLO/LibreYOLO9m,yolov9,detection,LibreYOLO9m.pt,80937709,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:56+00:00
LibreYOLO/LibreYOLO9c,yolov9,detection,LibreYOLO9c.pt,51397161,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:57+00:00
LibreYOLO/LibreRFDETRl,rfdetr,detection,LibreRFDETRl.pt,135954129,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:03:05+00:00
LibreYOLO/LibreRFDETRm,rfdetr,detection,LibreRFDETRm.pth,404992918,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:03:03+00:00
LibreYOLO/LibreRFDETRn,rfdetr,detection,LibreRFDETRn.pth,366287238,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-04-18 21:02:59+00:00
