model_id,family,task,backend,final_state,blocker_code,fix,package_bug,external_blocker,output_schema_valid,n_outputs,runtime_ms,evidence_file
convnextv2-base,convnextv2,classify,huggingface_classify,contract_passed,,,False,False,True,5,4519.510284007993,reports/contract_logs/convnextv2-base.stdout
convnextv2-large,convnextv2,classify,huggingface_classify,contract_passed,,,False,False,True,5,4711.54794600443,reports/contract_logs/convnextv2-large.stdout
convnextv2-tiny,convnextv2,classify,huggingface_classify,contract_passed,,,False,False,True,5,4423.726469001849,reports/contract_logs/convnextv2-tiny.stdout
maxvit-tiny-tf-224,maxvit,classify,huggingface_classify,contract_passed,,,False,False,True,5,4650.493900000583,reports/contract_logs/maxvit-tiny-tf-224.stdout
swinv2-base,swinv2,classify,huggingface,contract_passed,,,False,False,True,5,4587.459061993286,reports/contract_logs/swinv2-base.stdout
swinv2-large,swinv2,classify,huggingface,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,,False,True,False,0,3760.4559299943503,reports/contract_logs/swinv2-large.stdout
swinv2-small,swinv2,classify,huggingface,contract_passed,,,False,False,True,5,4673.0881850089645,reports/contract_logs/swinv2-small.stdout
swinv2-tiny,swinv2,classify,huggingface,contract_passed,,,False,False,True,5,4646.613199991407,reports/contract_logs/swinv2-tiny.stdout
dfine-l,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,1,4465.007355000125,reports/contract_logs/dfine-l.stdout
dfine-l-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,1,4458.633329006261,reports/contract_logs/dfine-l-coco.stdout
dfine-l-o365-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,1,4490.908585008583,reports/contract_logs/dfine-l-o365-coco.stdout
dfine-m,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,4,4468.099670993979,reports/contract_logs/dfine-m.stdout
dfine-m-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,0,4473.42776300502,reports/contract_logs/dfine-m-coco.stdout
dfine-m-o365-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,4,4389.105870999629,reports/contract_logs/dfine-m-o365-coco.stdout
dfine-n,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,5,4437.707454999327,reports/contract_logs/dfine-n.stdout
dfine-n-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,5,4539.64791999897,reports/contract_logs/dfine-n-coco.stdout
dfine-s,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,2,4475.96404000069,reports/contract_logs/dfine-s.stdout
dfine-s-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,4,4504.534894993412,reports/contract_logs/dfine-s-coco.stdout
dfine-s-o365-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,2,4490.610726003069,reports/contract_logs/dfine-s-o365-coco.stdout
dfine-x,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,8,4878.996230996563,reports/contract_logs/dfine-x.stdout
dfine-x-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,4,5007.714441002463,reports/contract_logs/dfine-x-coco.stdout
dfine-x-o365-coco,dfine,detect,huggingface_dfine,contract_passed,,,False,False,True,8,4498.440741997911,reports/contract_logs/dfine-x-o365-coco.stdout
rfdetr-base,rfdetr,detect,rfdetr_package,contract_passed,,,False,False,True,0,5175.554447007016,reports/contract_logs/rfdetr-base.stdout
rfdetr-large,rfdetr,detect,rfdetr_package,contract_passed,,,False,False,True,0,4392.75676800753,reports/contract_logs/rfdetr-large.stdout
rfdetr-medium,rfdetr,detect,rfdetr_package,contract_passed,,,False,False,True,0,5350.230668002041,reports/contract_logs/rfdetr-medium.stdout
rfdetr-nano,rfdetr,detect,rfdetr_package,contract_passed,,,False,False,True,0,5145.077770008356,reports/contract_logs/rfdetr-nano.stdout
rfdetr-small,rfdetr,detect,rfdetr_package,contract_passed,,,False,False,True,0,5307.308267991175,reports/contract_logs/rfdetr-small.stdout
clip-vit-base-patch32,clip,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,5066.163476003567,reports/contract_logs/clip-vit-base-patch32.stdout
clip-vit-large-patch14,clip,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,7228.378410989535,reports/contract_logs/clip-vit-large-patch14.stdout
dinov2-base,dinov2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,4450.639460992534,reports/contract_logs/dinov2-base.stdout
dinov2-giant,dinov2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,10214.70498299459,reports/contract_logs/dinov2-giant.stdout
dinov2-large,dinov2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,5925.548945990158,reports/contract_logs/dinov2-large.stdout
dinov2-small,dinov2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,4427.709068011609,reports/contract_logs/dinov2-small.stdout
siglip-base-patch16-224,siglip,embed,huggingface_dinov2,download_failed_retryable,DOWNLOAD_FAILED_RETRYABLE,,False,True,False,0,2337.878466001712,reports/contract_logs/siglip-base-patch16-224.stdout
siglip2-base-patch16-224,siglip2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,6055.61258099624,reports/contract_logs/siglip2-base-patch16-224.stdout
siglip2-large-patch16-256,siglip2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,9455.704129009973,reports/contract_logs/siglip2-large-patch16-256.stdout
siglip2-so400m-patch14-384,siglip2,embed,huggingface_dinov2,contract_passed,,,False,False,True,0,10886.60687400261,reports/contract_logs/siglip2-so400m-patch14-384.stdout
medsam,sam,foundation_segment,huggingface_sam,contract_passed,,,False,False,True,1,5374.678640000639,reports/contract_logs/medsam.stdout
sam-vit-base,sam,foundation_segment,huggingface,contract_passed,,,False,False,True,1,4803.881348008872,reports/contract_logs/sam-vit-base.stdout
sam-vit-huge,sam,foundation_segment,huggingface,contract_passed,,,False,False,True,1,6353.38544100523,reports/contract_logs/sam-vit-huge.stdout
sam-vit-large,sam,foundation_segment,huggingface,contract_passed,,,False,False,True,1,5014.325401003589,reports/contract_logs/sam-vit-large.stdout
sam2-hiera-base-plus,sam2,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,4920.510336000007,reports/contract_logs/sam2-hiera-base-plus.stdout
sam2-hiera-large,sam2,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,5325.332565989811,reports/contract_logs/sam2-hiera-large.stdout
sam2-hiera-small,sam2,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,5027.5072819931665,reports/contract_logs/sam2-hiera-small.stdout
sam2-hiera-tiny,sam2,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,4852.482276997762,reports/contract_logs/sam2-hiera-tiny.stdout
sam2.1-hiera-base-plus,sam2.1,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,4949.537216001772,reports/contract_logs/sam2_1-hiera-base-plus.stdout
sam2.1-hiera-large,sam2.1,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,5208.789160999004,reports/contract_logs/sam2_1-hiera-large.stdout
sam2.1-hiera-small,sam2.1,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,4939.87651700445,reports/contract_logs/sam2_1-hiera-small.stdout
sam2.1-hiera-tiny,sam2.1,foundation_segment,huggingface_sam2,contract_passed,,,False,False,True,1,4987.430512002902,reports/contract_logs/sam2_1-hiera-tiny.stdout
grounded-sam,grounded-sam,grounded_segment,composed,contract_passed,,,False,False,True,2,7376.327676000074,reports/contract_logs/grounded-sam.stdout
grounded-sam2,grounded-sam,grounded_segment,composed_gd_sam2,contract_passed,,,False,False,True,2,7423.388871990028,reports/contract_logs/grounded-sam2.stdout
rtmdet-r2-s,rtmdet,obb,openmmlab_sidecar,dependency_required,PREDICT_FAILED,,False,True,False,0,1327.1559580025496,reports/contract_logs/rtmdet-r2-s.stdout
grounding-dino-swin-b,grounding-dino,open_vocab_detect,huggingface,contract_passed,,,False,False,True,2,6652.431397000328,reports/contract_logs/grounding-dino-swin-b.stdout
grounding-dino-swin-t,grounding-dino,open_vocab_detect,huggingface,contract_passed,,,False,False,True,1,5842.392399004893,reports/contract_logs/grounding-dino-swin-t.stdout
grounding-dino-tiny,grounding-dino,open_vocab_detect,huggingface,contract_passed,,,False,False,True,1,5823.54499399662,reports/contract_logs/grounding-dino-tiny.stdout
owlv2-base-patch16,owlv2,open_vocab_detect,huggingface_owlv2,contract_passed,,,False,False,True,0,5474.594765997608,reports/contract_logs/owlv2-base-patch16.stdout
owlv2-large-patch14,owlv2,open_vocab_detect,huggingface_owlv2,contract_passed,,,False,False,True,0,6444.000167990453,reports/contract_logs/owlv2-large-patch14.stdout
owlvit-base-patch32,owlvit,open_vocab_detect,huggingface_owlv2,contract_passed,,,False,False,True,0,5371.076308001648,reports/contract_logs/owlvit-base-patch32.stdout
owlvit-large-patch14,owlvit,open_vocab_detect,huggingface_owlv2,contract_passed,,,False,False,True,0,6735.868289004429,reports/contract_logs/owlvit-large-patch14.stdout
rtmpose-s,rtmpose,pose,openmmlab_sidecar,dependency_required,PREDICT_FAILED,,False,True,False,0,1332.5654879881768,reports/contract_logs/rtmpose-s.stdout
oneformer-convnext-large,oneformer,segment,huggingface_oneformer,download_failed_retryable,DOWNLOAD_FAILED,,False,True,False,0,2161.4576959982514,reports/contract_logs/oneformer-convnext-large.stdout
oneformer-dinat-large,oneformer,segment,huggingface_oneformer,dependency_required,NATTEN_REQUIRED,,False,True,False,0,6422.023467996041,reports/contract_logs/oneformer-dinat-large.stdout
oneformer-swin-large,oneformer,segment,huggingface_oneformer,contract_passed,,,False,False,True,3,6220.882954992703,reports/contract_logs/oneformer-swin-large.stdout
rfdetr-seg-medium,rfdetr,segment,rfdetr_package,contract_passed,,,False,False,True,0,4462.665205996018,reports/contract_logs/rfdetr-seg-medium.stdout
rfdetr-seg-nano,rfdetr,segment,rfdetr_package,contract_passed,,,False,False,True,0,4423.957462990074,reports/contract_logs/rfdetr-seg-nano.stdout
rfdetr-seg-small,rfdetr,segment,rfdetr_package,contract_passed,,,False,False,True,0,4500.133528999868,reports/contract_logs/rfdetr-seg-small.stdout
florence-2-base,florence-2,vlm,huggingface_florence2,sidecar_required,FLORENCE2_TRANSFORMERS_VERSION_REQUIRED,,False,True,False,0,1959.9398029968143,reports/contract_logs/florence-2-base.stdout
florence-2-large,florence-2,vlm,huggingface_florence2,sidecar_required,FLORENCE2_TRANSFORMERS_VERSION_REQUIRED,,False,True,False,0,2004.2810239974642,reports/contract_logs/florence-2-large.stdout
